id,StreetNameShort,StreetName,StreetNoMin,StreetNoMax,EvenOdd,BeatNo,TeamNo,Postcode,Suburb,
1,BRAYE PL,BRAYE PLACE,2,6,2,1011,1,2211,PADSTOW HEIGHTS,even
2,BRAYE PL,BRAYE PLACE,1,5,1,1011,1,2211,PADSTOW HEIGHTS,odd
3,BERNARD RD,BERNARD ROAD,1,33,1,1011,1,2211,PADSTOW HEIGHTS,odd
4,BERNARD RD,BERNARD ROAD,33,33,1,1011,1,2211,PADSTOW HEIGHTS,odd
5,BERNARD RD,BERNARD ROAD,33,33,1,1011,1,2211,PADSTOW HEIGHTS,odd
6,BERNARD RD,BERNARD ROAD,33,33,1,1011,1,2211,PADSTOW HEIGHTS,odd
7,BERNARD RD,BERNARD ROAD,33,33,1,1011,1,2211,PADSTOW HEIGHTS,odd
8,BERNARD RD,BERNARD ROAD,2,18,2,1011,1,2211,PADSTOW HEIGHTS,even
9,SEWELL AVE,SEWELL AVENUE,1,23,1,1011,1,2211,PADSTOW HEIGHTS,odd
10,SEWELL AVE,SEWELL AVENUE,2,22,2,1011,1,2211,PADSTOW HEIGHTS,even
11,HENRY LAWSON DR,HENRY LAWSON DRIVE,962,974,2,1011,1,2211,PADSTOW HEIGHTS,even
12,REDWOOD PL,REDWOOD PLACE,1,9,0,1011,1,2211,PADSTOW HEIGHTS,both
13,BUSHLAND DR,BUSHLAND DRIVE,2,28,2,1011,1,2211,PADSTOW HEIGHTS,even
14,NEEDLEWOOD GR,NEEDLEWOOD GROVE,1,11,0,1011,1,2211,PADSTOW HEIGHTS,both
15,BANJO PATERSON PL,BANJO PATERSON PLACE,2,8,2,1011,1,2211,PADSTOW HEIGHTS,even
16,HENRY LAWSON DR,HENRY LAWSON DRIVE,657,965,1,1011,1,2211,PADSTOW HEIGHTS,odd
17,SUSAN AVE,SUSAN AVENUE,1,15,1,1011,1,2211,PADSTOW HEIGHTS,odd
18,CONNOLLY AVE,CONNOLLY AVENUE,11,29,1,1011,1,2211,PADSTOW HEIGHTS,odd
19,JASMINE AVE,JASMINE AVENUE,1,9,0,1011,1,2211,PADSTOW HEIGHTS,both
20,HENRY KENDALL AVE,HENRY KENDALL AVENUE,33,59,1,1011,1,2211,PADSTOW HEIGHTS,odd
21,GWEN PL,GWEN PLACE,2,5,0,1011,1,2211,PADSTOW HEIGHTS,both
22,VERA PL,VERA PLACE,2,8,2,1011,1,2211,PADSTOW HEIGHTS,even
23,VERA PL,VERA PLACE,9,15,1,1011,1,2211,PADSTOW HEIGHTS,odd
24,OATLEY PL,OATLEY PLACE,1,2,0,1011,1,2211,PADSTOW HEIGHTS,both
25,OATLEY PL,OATLEY PLACE,3,11,0,1011,1,2211,PADSTOW HEIGHTS,both
26,VERA PL,VERA PLACE,1,7,1,1011,1,2211,PADSTOW HEIGHTS,odd
27,HENRY KENDALL AVE,HENRY KENDALL AVENUE,32,52,2,1011,1,2211,PADSTOW HEIGHTS,even
28,HENRY KENDALL AVE,HENRY KENDALL AVENUE,26,30,2,1011,1,2211,PADSTOW HEIGHTS,even
29,CONNOLLY AVE,CONNOLLY AVENUE,2,32,2,1011,1,2211,PADSTOW HEIGHTS,even
30,COURTNEY RD,COURTNEY ROAD,89,107,1,1011,1,2211,PADSTOW,odd
31,LANG ST,LANG STREET,65,79,1,1011,1,2211,PADSTOW,odd
32,VIRGINIUS ST,VIRGINIUS STREET,105,107,1,1011,1,2211,PADSTOW,odd
33,NEPTUNE ST,NEPTUNE STREET,1,4,0,1011,1,2211,PADSTOW,both
34,LANG ST,LANG STREET,98,114,2,1011,1,2211,PADSTOW,even
35,COURTNEY RD,COURTNEY ROAD,106,106,2,1011,1,2211,PADSTOW,even
36,COURTNEY RD,COURTNEY ROAD,104,104,2,1011,1,2211,PADSTOW,even
37,COURTNEY RD,COURTNEY ROAD,104,104,2,1011,1,2211,PADSTOW,even
38,COURTNEY RD,COURTNEY ROAD,77,87,1,1011,1,2211,PADSTOW,odd
39,CONNOLLY AVE,CONNOLLY AVENUE,1,9,1,1011,1,2211,PADSTOW HEIGHTS,odd
40,SUSAN AVE,SUSAN AVENUE,2,16,2,1011,1,2211,PADSTOW HEIGHTS,even
41,DILKE RD,DILKE ROAD,29,35,1,1011,1,2211,PADSTOW HEIGHTS,odd
42,HALL CRES,HALL CRESCENT,15,21,1,1011,1,2211,PADSTOW,odd
43,HALL CRES,HALL CRESCENT,16,20,2,1011,1,2211,PADSTOW,even
44,DILKE RD,DILKE ROAD,23,27,1,1011,1,2211,PADSTOW,odd
45,CARLENE AVE,CARLENE AVENUE,1,4,0,1011,1,2211,PADSTOW,both
46,JANICE AVE,JANICE AVENUE,2,7,0,1011,1,2211,PADSTOW,both
47,CARLENE AVE,CARLENE AVENUE,5,15,0,1011,1,2211,PADSTOW,both
48,DILKE RD,DILKE ROAD,12,20,2,1011,1,2211,PADSTOW,even
49,HENRY LAWSON DR,HENRY LAWSON DRIVE,967,967,1,1011,1,2211,PADSTOW HEIGHTS,odd
50,HALL CRES,HALL CRESCENT,2,14,2,1011,1,2211,PADSTOW,even
51,HENRY LAWSON DR,HENRY LAWSON DRIVE,969,979,1,1011,1,2211,PADSTOW,odd
52,HENRY LAWSON DR,HENRY LAWSON DRIVE,977,987,1,1011,1,2211,PADSTOW HEIGHTS,odd
53,HENRY LAWSON DR,HENRY LAWSON DRIVE,990,1002,2,1011,1,2211,PADSTOW HEIGHTS,even
54,RICHMOND AVE,RICHMOND AVENUE,33,33,1,1011,1,2211,PADSTOW HEIGHTS,odd
55,HENRY LAWSON DR,HENRY LAWSON DRIVE,986,986,2,1011,1,2211,PADSTOW HEIGHTS,even
56,HENRY LAWSON DR,HENRY LAWSON DRIVE,976,984,2,1011,1,2211,PADSTOW HEIGHTS,even
57,VILLIERS RD,VILLIERS ROAD,101,123,1,1012,1,2211,PADSTOW HEIGHTS,odd
58,VILLIERS RD,VILLIERS ROAD,92,102,2,1012,1,2211,PADSTOW HEIGHTS,even
59,VILLIERS RD,VILLIERS ROAD,64,90,2,1012,1,2211,PADSTOW HEIGHTS,even
60,BARRY CRES,BARRY CRESCENT,1,11,0,1012,1,2211,PADSTOW HEIGHTS,both
61,VILLIERS RD,VILLIERS ROAD,44,60,2,1012,1,2211,PADSTOW HEIGHTS,even
62,QUEENSBURY RD,QUEENSBURY ROAD,18,22,2,1012,1,2211,PADSTOW HEIGHTS,even
63,QUEENSBURY RD,QUEENSBURY ROAD,16,16,2,1012,1,2211,PADSTOW HEIGHTS,even
64,CLANCY ST,CLANCY STREET,1,23,1,1012,1,2211,PADSTOW HEIGHTS,odd
65,CLANCY ST,CLANCY STREET,25,25,1,1012,1,2211,PADSTOW HEIGHTS,odd
66,CLANCY ST,CLANCY STREET,27,49,1,1012,1,2211,PADSTOW HEIGHTS,odd
67,CLANCY ST,CLANCY STREET,2,42,2,1012,1,2211,PADSTOW HEIGHTS,even
68,QUEENSBURY RD,QUEENSBURY ROAD,2,14,2,1012,1,2211,PADSTOW HEIGHTS,even
69,RICHMOND AVE,RICHMOND AVENUE,13,21,1,1012,1,2211,PADSTOW HEIGHTS,odd
70,MCINTOSH AVE,MCINTOSH AVENUE,1,10,0,1012,1,2211,PADSTOW HEIGHTS,both
71,RICHMOND AVE,RICHMOND AVENUE,23,31,1,1012,1,2211,PADSTOW HEIGHTS,odd
72,RICHMOND AVE,RICHMOND AVENUE,12,36,2,1012,1,2211,PADSTOW HEIGHTS,even
73,RIVERVIEW RD,RIVERVIEW ROAD,1,2,0,1012,1,2211,PADSTOW HEIGHTS,both
74,CASTLE PL,CASTLE PLACE,1,4,0,1012,1,2211,PADSTOW HEIGHTS,both
75,RIVERVIEW RD,RIVERVIEW ROAD,3,7,0,1012,1,2211,PADSTOW HEIGHTS,both
76,RIVERVIEW RD,RIVERVIEW ROAD,8,17,0,1012,1,2211,PADSTOW HEIGHTS,both
77,QUEENSBURY RD,QUEENSBURY ROAD,1,3,1,1012,1,2211,PADSTOW HEIGHTS,odd
78,QUEENSBURY RD,QUEENSBURY ROAD,5,35,1,1012,1,2211,PADSTOW HEIGHTS,odd
79,VILLIERS RD,VILLIERS ROAD,30,42,2,1012,1,2211,PADSTOW HEIGHTS,even
80,LORRAINE AVE,LORRAINE AVENUE,1,19,1,1012,1,2211,PADSTOW HEIGHTS,odd
81,LORRAINE AVE,LORRAINE AVENUE,2,18,2,1012,1,2211,PADSTOW HEIGHTS,even
82,VILLIERS RD,VILLIERS ROAD,26,28,2,1012,1,2211,PADSTOW HEIGHTS,even
83,RAFTREE ST,RAFTREE STREET,2,26,2,1012,1,2211,PADSTOW HEIGHTS,even
84,RAFTREE ST,RAFTREE STREET,1,17,1,1012,1,2211,PADSTOW HEIGHTS,odd
85,VILLIERS RD,VILLIERS ROAD,2,24,2,1012,1,2211,PADSTOW HEIGHTS,even
86,VILLIERS RD,VILLIERS ROAD,1,37,1,1012,1,2211,PADSTOW HEIGHTS,odd
87,BASTILLE CL,BASTILLE CLOSE,1,13,1,1012,1,2211,PADSTOW HEIGHTS,odd
88,VALLEY RD,VALLEY ROAD,20,36,2,1012,1,2211,PADSTOW HEIGHTS,even
89,BASTILLE CL,BASTILLE CLOSE,2,16,2,1012,1,2211,PADSTOW HEIGHTS,even
90,VILLIERS RD,VILLIERS ROAD,41,57,1,1012,1,2211,PADSTOW HEIGHTS,odd
91,QUEENSBURY RD,QUEENSBURY ROAD,37,55,1,1012,1,2211,PADSTOW HEIGHTS,odd
92,QUEENSBURY RD,QUEENSBURY ROAD,24,42,2,1012,1,2211,PADSTOW HEIGHTS,even
93,VILLIERS RD,VILLIERS ROAD,59,71,1,1012,1,2211,PADSTOW HEIGHTS,odd
94,VILLIERS RD,VILLIERS ROAD,75,81,1,1012,1,2211,PADSTOW HEIGHTS,odd
95,SHEPHERD AVE,SHEPHERD AVENUE,1,15,0,1012,1,2211,PADSTOW HEIGHTS,both
96,VILLIERS RD,VILLIERS ROAD,87,99,1,1012,1,2211,PADSTOW HEIGHTS,odd
97,VALLEY RD,VALLEY ROAD,58,80,2,1012,1,2211,PADSTOW HEIGHTS,even
98,HILLTOP AVE,HILLTOP AVENUE,1,19,1,1012,1,2211,PADSTOW HEIGHTS,odd
99,HILLTOP AVE,HILLTOP AVENUE,2,18,2,1012,1,2211,PADSTOW HEIGHTS,even
100,VALLEY RD,VALLEY ROAD,44,56,2,1012,1,2211,PADSTOW HEIGHTS,even
101,VALLEY RD,VALLEY ROAD,38,42,2,1012,1,2211,PADSTOW HEIGHTS,even
102,VALLEY RD,VALLEY ROAD,2,18,2,1012,1,2211,PADSTOW HEIGHTS,even
103,VALLEY RD,VALLEY ROAD,1,17,1,1012,1,2211,PADSTOW HEIGHTS,odd
104,THE GROVE,THE GROVE,2,6,2,1012,1,2211,PADSTOW HEIGHTS,even
105,VALLEY RD,VALLEY ROAD,21,49,1,1012,1,2211,PADSTOW HEIGHTS,odd
106,OPAL PL,OPAL PLACE,2,15,0,1012,1,2211,PADSTOW HEIGHTS,both
107,VALLEY RD,VALLEY ROAD,51,57,1,1012,1,2211,PADSTOW HEIGHTS,odd
108,CHURCHILL RD,CHURCHILL ROAD,34,50,2,1012,1,2211,PADSTOW HEIGHTS,even
109,NAMBUCCA PL,NAMBUCCA PLACE,1,25,0,1012,1,2211,PADSTOW HEIGHTS,both
110,CHURCHILL RD,CHURCHILL ROAD,12,30,2,1012,1,2211,PADSTOW HEIGHTS,even
111,BERKLEY RD,BERKLEY ROAD,2,24,2,1012,1,2211,PADSTOW HEIGHTS,even
112,CLANCY ST,CLANCY STREET,68,86,2,1021,1,2211,PADSTOW HEIGHTS,even
113,CLANCY ST,CLANCY STREET,44,58,2,1021,1,2211,PADSTOW HEIGHTS,even
114,DILKE RD,DILKE ROAD,32,42,2,1021,1,2211,PADSTOW HEIGHTS,even
115,DILKE RD,DILKE ROAD,44,46,2,1021,1,2211,PADSTOW HEIGHTS,even
116,DILKE RD,DILKE ROAD,48,54,2,1021,1,2211,PADSTOW HEIGHTS,even
117,DILKE RD,DILKE ROAD,56,70,2,1021,1,2211,PADSTOW HEIGHTS,even
118,DILKE RD,DILKE ROAD,78,92,2,1021,1,2211,PADSTOW HEIGHTS,even
119,DILKE RD,DILKE ROAD,83,89,1,1021,1,2211,PADSTOW HEIGHTS,odd
120,PLAYFORD RD,PLAYFORD ROAD,1,1,1,1021,1,2211,PADSTOW HEIGHTS,odd
121,PLAYFORD RD,PLAYFORD ROAD,3,5,0,1021,1,2211,PADSTOW HEIGHTS,both
122,PLAYFORD RD,PLAYFORD ROAD,72,74,2,1021,1,2211,PADSTOW HEIGHTS,even
123,CARTER CRES,CARTER CRESCENT,1,11,0,1021,1,2211,PADSTOW HEIGHTS,both
124,PLAYFORD RD,PLAYFORD ROAD,66,68,2,1021,1,2211,PADSTOW HEIGHTS,even
125,ROMA AVE,ROMA AVENUE,26,28,2,1021,1,2211,PADSTOW HEIGHTS,even
126,ROMA AVE,ROMA AVENUE,2,24,2,1021,1,2211,PADSTOW HEIGHTS,even
127,ROMA AVE,ROMA AVENUE,1,29,1,1021,1,2211,PADSTOW HEIGHTS,odd
128,PLAYFORD RD,PLAYFORD ROAD,2,2,2,1021,1,2211,PADSTOW HEIGHTS,even
129,PLAYFORD RD,PLAYFORD ROAD,6,6,2,1021,1,2211,PADSTOW HEIGHTS,even
130,DILKE RD,DILKE ROAD,53,81,1,1021,1,2211,PADSTOW HEIGHTS,odd
131,DILKE RD,DILKE ROAD,49,51,1,1021,1,2211,PADSTOW HEIGHTS,odd
132,DILKE RD,DILKE ROAD,37,47,1,1021,1,2211,PADSTOW HEIGHTS,odd
133,CLANCY ST,CLANCY STREET,51,93,1,1021,1,2211,PADSTOW HEIGHTS,odd
134,KEATES AVE,KEATES AVENUE,1,7,1,1021,1,2211,PADSTOW HEIGHTS,odd
135,KEATES AVE,KEATES AVENUE,2,8,2,1021,1,2211,PADSTOW HEIGHTS,even
136,HENRY KENDALL AVE,HENRY KENDALL AVENUE,14,24,2,1021,1,2211,PADSTOW HEIGHTS,even
137,HENRY KENDALL AVE,HENRY KENDALL AVENUE,5,5,1,1021,1,2211,PADSTOW HEIGHTS,odd
138,HENRY KENDALL AVE,HENRY KENDALL AVENUE,3,3,1,1021,1,2211,PADSTOW HEIGHTS,odd
139,HENRY KENDALL AVE,HENRY KENDALL AVENUE,5,5,1,1021,1,2211,PADSTOW HEIGHTS,odd
140,HENRY KENDALL AVE,HENRY KENDALL AVENUE,9,9,1,1021,1,2211,PADSTOW HEIGHTS,odd
141,HENRY KENDALL AVE,HENRY KENDALL AVENUE,15,23,1,1021,1,2211,PADSTOW HEIGHTS,odd
142,HENRY KENDALL AVE,HENRY KENDALL AVENUE,27,31,1,1021,1,2211,PADSTOW HEIGHTS,odd
143,CLAIR CRES,CLAIR CRESCENT,1,43,1,1021,1,2211,PADSTOW HEIGHTS,odd
144,CLAIR CRES,CLAIR CRESCENT,2,28,2,1021,1,2211,PADSTOW HEIGHTS,even
145,WYATT AVE,WYATT AVENUE,14,32,2,1021,1,2211,PADSTOW,even
146,WYATT AVE,WYATT AVENUE,12,12,2,1021,1,2211,PADSTOW,even
147,WYATT AVE,WYATT AVENUE,2,10,2,1021,1,2211,PADSTOW,even
148,ALMA RD,ALMA ROAD,117,127,1,1021,1,2211,PADSTOW,odd
149,RICHARDSON AVE,RICHARDSON AVENUE,1,31,1,1021,1,2211,PADSTOW,odd
150,RICHARDSON AVE,RICHARDSON AVENUE,33,53,1,1021,1,2211,PADSTOW HEIGHTS,odd
151,RICHARDSON AVE,RICHARDSON AVENUE,53,53,1,1021,1,2211,PADSTOW HEIGHTS,odd
152,RICHARDSON AVE,RICHARDSON AVENUE,61,61,1,1021,1,2211,PADSTOW HEIGHTS,odd
153,RICHARDSON AVE,RICHARDSON AVENUE,46,60,2,1021,1,2211,PADSTOW HEIGHTS,even
154,FIONA CL,FIONA CLOSE,1,6,0,1021,1,2211,PADSTOW HEIGHTS,both
155,RICHARDSON AVE,RICHARDSON AVENUE,2,40,2,1021,1,2211,PADSTOW,even
156,ALMA RD,ALMA ROAD,129,131,1,1021,1,2211,PADSTOW,odd
157,ALMA RD,ALMA ROAD,131,131,1,1021,1,2211,PADSTOW,odd
158,ALMA RD,ALMA ROAD,136,164,2,1021,1,2211,PADSTOW,even
159,ALMA RD,ALMA ROAD,96,134,2,1021,1,2211,PADSTOW,even
160,ALMA RD,ALMA ROAD,101,107,1,1021,1,2211,PADSTOW,odd
161,HARVEY AVE,HARVEY AVENUE,1,27,1,1021,1,2211,PADSTOW,odd
162,HARVEY AVE,HARVEY AVENUE,2,28,2,1021,1,2211,PADSTOW,even
163,ALMA RD,ALMA ROAD,109,115,1,1021,1,2211,PADSTOW,odd
164,WYATT AVE,WYATT AVENUE,5,9,1,1021,1,2211,PADSTOW,odd
165,WYATT AVE,WYATT AVENUE,11,11,1,1021,1,2211,PADSTOW,odd
166,WYATT AVE,WYATT AVENUE,17,31,1,1021,1,2211,PADSTOW,odd
167,RICHARDSON AVE,RICHARDSON AVENUE,61,61,1,1021,1,2211,PADSTOW,odd
168,RICHARDSON AVE,RICHARDSON AVENUE,46,60,2,1021,1,2211,PADSTOW,even
169,ADELAIDE RD,ADELAIDE ROAD,1,7,1,1022,1,2211,PADSTOW,odd
170,ADELAIDE RD,ADELAIDE ROAD,9,15,1,1022,1,2211,PADSTOW,odd
171,PROSSER AVE,PROSSER AVENUE,2,24,2,1022,1,2211,PADSTOW,even
172,PROSSER AVE,PROSSER AVENUE,1,23,1,1022,1,2211,PADSTOW,odd
173,ADELAIDE RD,ADELAIDE ROAD,17,19,1,1022,1,2211,PADSTOW,odd
174,ADELAIDE RD,ADELAIDE ROAD,21,53,1,1022,1,2211,PADSTOW,odd
175,ALMA RD,ALMA ROAD,44,72,2,1022,1,2211,PADSTOW,even
176,YATES CRES,YATES CRESCENT,1,3,1,1022,1,2211,PADSTOW,odd
177,ALMA RD,ALMA ROAD,53,79,1,1022,1,2211,PADSTOW,odd
178,ALMA RD,ALMA ROAD,81,99,1,1022,1,2211,PADSTOW,odd
179,CHAMBERLAIN RD,CHAMBERLAIN ROAD,37,37,1,1022,1,2211,PADSTOW,odd
180,STARR AVE,STARR AVENUE,5,37,1,1022,1,2211,PADSTOW,odd
181,COURTNEY RD,COURTNEY ROAD,72,80,2,1022,1,2211,PADSTOW,even
182,BERRIMA AVE,BERRIMA AVENUE,3,5,0,1022,1,2211,PADSTOW,both
183,GOYEN PL,GOYEN PLACE,6,9,0,1022,1,2211,PADSTOW,both
184,BERRIMA AVE,BERRIMA AVENUE,10,14,0,1022,1,2211,PADSTOW,both
185,BERRIMA AVE,BERRIMA AVENUE,15,36,0,1022,1,2211,PADSTOW,both
186,COURTNEY RD,COURTNEY ROAD,60,66,2,1022,1,2211,PADSTOW,even
187,COURTNEY RD,COURTNEY ROAD,45,77,1,1022,1,2211,PADSTOW,odd
188,COURTNEY RD,COURTNEY ROAD,82,102,2,1022,1,2211,PADSTOW,even
189,STARR AVE,STARR AVENUE,2,20,2,1022,1,2211,PADSTOW,even
190,CHAMBERLAIN RD,CHAMBERLAIN ROAD,43,65,1,1022,1,2211,PADSTOW,odd
191,CHAMBERLAIN RD,CHAMBERLAIN ROAD,67,99,1,1022,1,2211,PADSTOW HEIGHTS,odd
192,CHAMBERLAIN RD,CHAMBERLAIN ROAD,98,98,2,1022,1,2211,PADSTOW HEIGHTS,even
193,CHAMBERLAIN RD,CHAMBERLAIN ROAD,74,96,2,1022,1,2211,PADSTOW HEIGHTS,even
194,CHAMBERLAIN RD,CHAMBERLAIN ROAD,38,72,2,1022,1,2211,PADSTOW,even
195,CHAMBERLAIN RD,CHAMBERLAIN ROAD,2,36,2,1022,1,2211,PADSTOW,even
196,CHAMBERLAIN RD,CHAMBERLAIN ROAD,1,35,1,1022,1,2211,PADSTOW,odd
197,ALMA RD,ALMA ROAD,88,94,2,1022,1,2211,PADSTOW,even
198,HELGA AVE,HELGA AVENUE,1,19,0,1022,1,2211,PADSTOW,both
199,ALMA RD,ALMA ROAD,74,84,2,1022,1,2211,PADSTOW,even
200,ADELAIDE RD,ADELAIDE ROAD,26,58,2,1022,1,2211,PADSTOW,even
201,ADELAIDE RD,ADELAIDE ROAD,8,24,2,1022,1,2211,PADSTOW,even
202,BURLEY RD,BURLEY ROAD,21,59,1,1022,1,2211,PADSTOW,odd
203,BURLEY RD,BURLEY ROAD,12,42,2,1022,1,2211,PADSTOW,even
204,ADELAIDE RD,ADELAIDE ROAD,2,6,2,1022,1,2211,PADSTOW,even
205,BURLEY RD,BURLEY ROAD,2,8,2,1022,1,2211,PADSTOW,even
206,BURLEY RD,BURLEY ROAD,1,19,1,1022,1,2211,PADSTOW,odd
207,URANUS RD,URANUS ROAD,1,15,1,1031,1,2211,PADSTOW,odd
208,LANG ST,LANG STREET,1,31,1,1031,1,2211,PADSTOW,odd
209,LANG ST,LANG STREET,33,33,1,1031,1,2211,PADSTOW,odd
210,LANG ST,LANG STREET,35,41,1,1031,1,2211,PADSTOW,odd
211,LANG ST,LANG STREET,43,63,1,1031,1,2211,PADSTOW,odd
212,LANG ST,LANG STREET,66,96,2,1031,1,2211,PADSTOW,even
213,LANG ST,LANG STREET,2,64,2,1031,1,2211,PADSTOW,even
214,URANUS RD,URANUS ROAD,17,39,1,1031,1,2211,PADSTOW,odd
215,VIRGINIUS ST,VIRGINIUS STREET,1,17,1,1031,1,2211,PADSTOW,odd
216,LEADER ST,LEADER STREET,2,10,2,1031,1,2211,PADSTOW,even
217,LEADER ST,LEADER STREET,1,25,1,1031,1,2211,PADSTOW,odd
218,LEADER ST,LEADER STREET,12,24,2,1031,1,2211,PADSTOW,even
219,VIRGINIUS ST,VIRGINIUS STREET,21,57,1,1031,1,2211,PADSTOW,odd
220,VIRGINIUS ST,VIRGINIUS STREET,59,95,1,1031,1,2211,PADSTOW,odd
221,VIRGINIUS ST,VIRGINIUS STREET,101,103,1,1031,1,2211,PADSTOW,odd
222,VIRGINIUS ST,VIRGINIUS STREET,2,40,2,1031,1,2211,PADSTOW,even
223,URANUS RD,URANUS ROAD,39,45,1,1031,1,2211,PADSTOW,odd
224,CENTAUR ST,CENTAUR STREET,1,9,1,1031,1,2211,PADSTOW,odd
225,CENTAUR ST,CENTAUR STREET,2,22,2,1031,1,2211,PADSTOW,even
226,CENTAUR ST,CENTAUR STREET,22,22,2,1031,1,2212,REVESBY,even
227,URANUS RD,URANUS ROAD,47,49,1,1031,1,2211,PADSTOW,odd
228,URANUS RD,URANUS ROAD,51,53,1,1031,1,2212,REVESBY,odd
229,HYDRAE ST,HYDRAE STREET,1,21,1,1031,1,2212,REVESBY,odd
230,HYDRAE ST,HYDRAE STREET,23,57,1,1031,1,2212,REVESBY,odd
231,HYDRAE ST,HYDRAE STREET,59,105,1,1031,1,2212,REVESBY,odd
232,HYDRAE ST,HYDRAE STREET,58,104,2,1031,1,2212,REVESBY,even
233,HYDRAE ST,HYDRAE STREET,2,56,2,1031,1,2212,REVESBY,even
234,URANUS RD,URANUS ROAD,55,61,1,1031,1,2212,REVESBY,odd
235,URANUS RD,URANUS ROAD,67,81,1,1031,1,2212,REVESBY,odd
236,URANUS RD,URANUS ROAD,58,88,2,1031,1,2212,REVESBY,even
237,SHIRLEY ST,SHIRLEY STREET,1,16,0,1031,1,2211,PADSTOW,both
238,URANUS RD,URANUS ROAD,28,50,2,1031,1,2211,PADSTOW,even
239,URANUS RD,URANUS ROAD,2,18,2,1031,1,2211,PADSTOW,even
240,FARADAY RD,FARADAY ROAD,101,125,1,1032,1,2211,PADSTOW,odd
241,FARADAY RD,FARADAY ROAD,127,127,1,1032,1,2211,PADSTOW,odd
242,SPRINGFIELD RD,SPRINGFIELD ROAD,28,32,2,1032,1,2211,PADSTOW,even
243,GLENDALE AVE,GLENDALE AVENUE,1,17,1,1032,1,2211,PADSTOW,odd
244,GLENDALE AVE,GLENDALE AVENUE,2,18,2,1032,1,2211,PADSTOW,even
245,SPRINGFIELD RD,SPRINGFIELD ROAD,6,24,2,1032,1,2211,PADSTOW,even
246,CRAIGIE AVE,CRAIGIE AVENUE,20,44,2,1032,1,2211,PADSTOW,even
247,CRAIGIE AVE,CRAIGIE AVENUE,2,18,2,1032,1,2211,PADSTOW,even
248,ORIENT RD,ORIENT ROAD,55,65,1,1032,1,2211,PADSTOW,odd
249,URALLA AVE,URALLA AVENUE,1,17,1,1032,1,2211,PADSTOW,odd
250,URALLA AVE,URALLA AVENUE,19,37,1,1032,1,2211,PADSTOW,odd
251,URALLA AVE,URALLA AVENUE,12,32,2,1032,1,2211,PADSTOW,even
252,URALLA AVE,URALLA AVENUE,2,10,2,1032,1,2211,PADSTOW,even
253,ORIENT RD,ORIENT ROAD,2,72,2,1032,1,2211,PADSTOW,even
254,ORIENT RD,ORIENT ROAD,1,21,1,1032,1,2211,PADSTOW,odd
255,ORIENT RD,ORIENT ROAD,23,31,1,1032,1,2211,PADSTOW,odd
256,RIVENOAK AVE,RIVENOAK AVENUE,1,17,1,1032,1,2211,PADSTOW,odd
257,RIVENOAK AVE,RIVENOAK AVENUE,19,39,1,1032,1,2211,PADSTOW,odd
258,RIVENOAK AVE,RIVENOAK AVENUE,20,38,2,1032,1,2211,PADSTOW,even
259,RIVENOAK AVE,RIVENOAK AVENUE,2,18,2,1032,1,2211,PADSTOW,even
260,ORIENT RD,ORIENT ROAD,33,43,1,1032,1,2211,PADSTOW,odd
261,BLANCHE AVE,BLANCHE AVENUE,1,13,0,1032,1,2211,PADSTOW,both
262,ORIENT RD,ORIENT ROAD,45,53,1,1032,1,2211,PADSTOW,odd
263,CRAIGIE AVE,CRAIGIE AVENUE,1,17,1,1032,1,2211,PADSTOW,odd
264,CRAIGIE AVE,CRAIGIE AVENUE,19,43,1,1032,1,2211,PADSTOW,odd
265,SPRINGFIELD RD,SPRINGFIELD ROAD,2,4,2,1032,1,2211,PADSTOW,even
266,SPRINGFIELD RD,SPRINGFIELD ROAD,1,41,1,1032,1,2211,PADSTOW,odd
267,FARADAY RD,FARADAY ROAD,129,131,1,1032,1,2211,PADSTOW,odd
268,FARADAY RD,FARADAY ROAD,133,181,1,1032,1,2211,PADSTOW,odd
269,CURZON RD,CURZON ROAD,1,7,1,1032,1,2211,PADSTOW HEIGHTS,odd
270,SEELAND PL,SEELAND PLACE,1,21,1,1032,1,2211,PADSTOW HEIGHTS,odd
271,SEELAND PL,SEELAND PLACE,2,18,2,1032,1,2211,PADSTOW HEIGHTS,even
272,CURZON RD,CURZON ROAD,9,19,1,1032,1,2211,PADSTOW HEIGHTS,odd
273,CURZON RD,CURZON ROAD,2,24,2,1032,1,2211,PADSTOW HEIGHTS,even
274,FARADAY RD,FARADAY ROAD,116,156,2,1032,1,2211,PADSTOW,even
275,ALMA RD,ALMA ROAD,133,139,1,1032,1,2211,PADSTOW,odd
276,CAREW ST,CAREW STREET,1,41,1,1032,1,2211,PADSTOW,odd
277,CAREW ST,CAREW STREET,2,38,2,1032,1,2211,PADSTOW,even
278,ALMA RD,ALMA ROAD,141,147,1,1032,1,2211,PADSTOW,odd
279,MARS ST,MARS STREET,1,7,1,1032,1,2211,PADSTOW,odd
280,MARS ST,MARS STREET,2,14,2,1032,1,2211,PADSTOW,even
281,ALMA RD,ALMA ROAD,166,180,2,1032,1,2211,PADSTOW,even
282,FARADAY RD,FARADAY ROAD,104,114,2,1032,1,2211,PADSTOW,even
283,SPRINGFIELD RD,SPRINGFIELD ROAD,43,63,1,1032,1,2211,PADSTOW,odd
284,SPRINGFIELD RD,SPRINGFIELD ROAD,34,44,2,1032,1,2211,PADSTOW,even
285,FARADAY RD,FARADAY ROAD,90,102,2,1032,1,2211,PADSTOW,even
